Type,DS_X,DS_Y,SBAC_X,SBAC_Y,DS_order,DS_length,DS_distance,DS_soma,DS_end,DS_theta,DS_rho,SBAC_order,SBAC_length,SBAC_distance,SBAC_soma,SBAC_end,SBAC_theta,SBAC_rho,DS_StartX,DS_StartY,SBAC_StartX,SBAC_StartY
1,1582,1529,1585,1534,9,3.8,391.805511808005,391.094488191995,54.6743214050984,-1.79032501133348,1749.8489581218,3,4.4,132.424099552723,130.575900447277,35.0065234537306,2.65666295834039,972.82442151787,361.56,-182.66,362.57,-183.66
1,1590,1539,1586,1534,9,1.6,387.668757340709,389.831242659291,54.9254475128584,-1.78708613779586,1738.3559169472,3,4.4,132.542577141572,130.457422858428,35.1841294163952,2.65618335439059,971.939825577057,362.37,-184.01,362.57,-183.66
1,1643,1510,1639,1506,9,2.4,389.415982568423,390.884017431577,107.863365135194,-1.75406189510043,1756.26364235181,3,3.1,122.843836132961,120.856163867039,44.3545469032866,2.65622427713397,911.998199676859,372.33,-180.24,370.66,-179.93
1,1631,1783,1634,1789,7,1.4,335.453168682503,335.546831317497,31.5284231367312,-1.79534717080781,1491.29300255418,3,4.9,159.70064660692,156.09935339308,11.8034997825111,2.42397023170671,1077.37742984677,370.18,-229.52,370.04,-229.67
1,1630,1800,1626.5,1795.5,7,0.8,332.656898551214,334.143101448786,33.9103769515304,-1.79857457958807,1474.95015100538,3,4.9,158.342631660538,157.457368339462,10.0335457753931,2.4240024686354,1087.30208513661,369.91,-231.67,370.04,-229.67
1,1642,1492,1647,1496,9,1.9,390.831225352721,393.268774647279,104.229386846541,-1.75276713553729,1774.14593952945,3,4,119.264842903976,117.335157096024,47.4933315307684,2.66190343731223,900.27135039736,372.33,-177.82,373.14,-176.82
1,1802,1812,1797,1806,6,1.1,300.496046244428,299.903953755572,53.2047097688847,-1.68335754408575,1433.9272880529,5,4.2,153.06671418667,151.63328581333,33.8406262781317,2.30035372377712,973.183184108196,400.83,-234.46,399.88,-232.16
1,1782,1843,1779,1841,6,1,304.279911702944,303.920088297056,9.44915141717351,-1.69997474711348,1405.56399546589,5,2.6,158.397471201923,158.702528798077,25.3483322166322,2.29055406544049,1011.32089159633,396.28,-239.7,396.77,-238.38
1,1813.5,1606,1817,1612,7,1.7,339.668065630041,340.731934369959,15.6885800794443,-1.66224956529214,1637.69675193709,4,2.8,117.341243065091,117.458756934909,40.8157334610738,2.43977079618778,823.218859813519,402.89,-196.82,403.61,-197.34
1,1792,1689,1791,1682,6,1.2,323.137332490346,323.462667509654,31.0798565438598,-1.68086659388763,1557.27697179452,4,2.6,134.993128517401,135.106871482599,31.0997827441975,2.39851063716137,889.02354156736,399.03,-212.26,397.39,-210.4
1,1804.5,1796.5,1807,1802,6,0.6,302.85208346063,302.44791653937,49.9707790951938,-1.68044171035205,1449.05454977056,5,2,148.917595269781,149.582404730219,34.2115594213493,2.29538401128363,963.547807471945,401.1,-231.7,401.75,-231.54
1,1815,1630,1820,1622,7,0.6,334.376385812806,334.023614187194,18.8885879437101,-1.66268217673886,1613.66020862763,4,2,120.334914460005,119.965085539995,44.9396724871098,2.42820050249208,827.439343319634,402.76,-201.37,404.23,-200.45
1,1831,1640,1824,1640,7,1.3,335.423837064974,335.976162935026,26.8475980143066,-1.65331120148789,1602.30464110869,4,1.9,123.625600579842,124.974399420158,41.33572219292,2.40879566564363,836.351460782232,405.24,-202.33,404.86,-203.56
1,1888,1485,1885,1480,8,1.1,370.520496429449,370.379503570551,16.0390234028834,-1.61361846911916,1753.46037190983,3,4,90.1843769661822,87.7156230338178,71.3113142467631,2.52252144308062,688.424668001229,416.54,-175.59,415.43,-174.33
1,1862.5,1707.5,1866.5,1712,8,1.5,352.445116668659,351.954883331341,10.0557329701355,-1.63645770278065,1532.65569745943,4,2.8,129.45169757059,129.34830242941,54.7422584312775,2.31301038111116,856.85316855416,411.58,-214.88,412.32,-215.37
1,1863,1730,1859,1725,8,1.3,357.42522830406,356.37477169594,5.62087942257403,-1.63710491205338,1510.171692657,4,3.1,132.661943535019,132.038056464981,52.3701735114109,2.3092701110461,871.509334011141,411.72,-219.71,411.07,-217.86
1,1878,1426,1881.5,1421.5,8,1.2,382.423943422823,380.776056577178,4.93622984702546,-1.61773636114321,1812.84974578482,3,3.1,76.4651093336111,76.3348906663889,82.4744406430456,2.59794819567531,659.203087975144,414.06,-165.24,414.8,-163.14
1,1882,1471,1887,1475.5,8,1.3,374.005873370691,373.89412662931,13.249670825173,-1.61667053829966,1767.71262528353,3,4,90.7296567091585,87.1703432908415,72.1543336728417,2.52618172842686,684.189160295831,415.17,-172.55,415.43,-174.33
1,1885,1415,1881,1419,8,1.2,384.617140191907,383.382859808093,2.56013504731656,-1.6136188068656,1823.52462812964,3,3.1,76.8762473991461,75.9237526008539,82.7803487436815,2.60159099352042,658.342224550516,415.03,-163.04,414.8,-163.14
1,1963,1960,1969.5,1955,3,2.5,267.534493183787,265.365506816213,147.570944147845,-1.570846437064,1276.85292757827,5,2.6,181.33356792932,181.76643207068,4.64382157554244,2.06941749862609,995.713710185028,429.43,-260.25,430.97,-258.89
1,1965,1946,1962,1951,3,2.5,269.919301079472,270.480698920528,144.96941209051,-1.56929653153112,1290.85437778966,5,2.8,178.375374920627,179.324625079373,7.45294462483846,2.07795292997009,995.823626393128,429.98,-257.77,428.48,-257.65
1,2010,1636.5,2013,1632,4,1.6,325.270683385947,323.829316614053,87.0604672264539,-1.54147619047426,1601.04106047515,3,2,100.457189441654,102.042810558346,81.4458070878383,2.23604856544276,700.947670242604,437.57,-203.37,439.67,-202.31
1,2059,1776,2066,1774,4,1.1,304.585633956802,302.914366043198,96.2051056351361,-1.50521925476234,1463.99965526049,3,2.2,129.728344821534,130.771655178466,53.1508027261451,2.07170245148124,790.606080066894,446.21,-227.75,447.76,-229.05
1,2014,1613,2010,1612.5,4,1.8,329.413907787432,328.186092212568,82.9518802185643,-1.53943922538167,1624.65159433667,3,2.2,96.9249515910283,97.0750484089717,88.5491626079747,2.25698760585368,687.608334497786,438.13,-199.33,436.57,-199.2
1,2019,1588,2020.5,1594,4,1.5,334.807379886863,334.792620113137,77.9583160871492,-1.53688513164414,1649.80144546094,2,5,95.197655515879,91.602344484121,95.0576859943052,2.26238479039974,666.65249652182,439.38,-194.18,439.05,-194.85
1,2043,1531,2049.5,1531,4,2.6,347.824686645031,346.37531335497,66.4701849664587,-1.5239707281454,1707.7247939293,2,6.1,83.8013004830555,79.5986995169445,109.326258611615,2.2921312116602,599.898066601259,443.01,-183.32,444.65,-184.9
1,2057,1525,2051,1526,4,0.7,348.725168199339,348.774831800662,62.1916642371205,-1.51597742256317,1714.42830569731,2,3.2,77.0067464641097,77.0932535358903,107.394408571792,2.29578664450627,595.156837123795,445.51,-182.48,445.27,-181.79
1,2119,1510,2125,1512,4,1.3,361.102120156353,360.697879843647,51.1273714843362,-1.48073988330136,1733.87919683246,2,4.7,80.0398524246929,76.7601475753071,130.392661457728,2.209917110502,537.587020924913,456.93,-179.56,457.71,-181.17
1,2074,1765,2068,1767,4,1.9,307.764606822671,306.335393177329,93.6524161550201,-1.49556689590962,1476.02772178269,3,2.2,128.498315375583,132.001684624417,54.4508137335452,2.07375380370881,783.507253025267,448.3,-225.8,447.76,-229.05
1,2107,1743,2112,1741.5,4,1.4,315.632373260372,315.867626739628,85.8235511064516,-1.47474064620893,1500.77118219488,3,4.4,121.943138186995,125.156861813005,87.4340442181251,2.03828065560518,740.422125610031,455.54,-220.92,456.46,-222.83
1,2095,1975,2100,1973,9,2,364.340717309507,364.559282690493,3.99993112126293,-1.46661749774085,1268.73161829316,4,2.6,166.694304171435,167.005695828565,46.1151090789241,1.94031490535512,957.079999811623,452.58,-262.64,454.6,-262.63
1,2091,1875,2087,1870,10,0.8,369.725384550914,370.874615449086,1.55012924056528,-1.47712861843939,1367.84904734381,3,3.1,142.447234856188,142.952765143812,61.6291598762264,1.99722589501399,867.131408216112,452.31,-245.68,452.11,-243.35
1,2139,1927,2144,1931,10,1.3,355.939453811838,356.960546188162,15.8462881700196,-1.43727805883151,1321.61574203978,3,1.9,155.22563959236,157.67436040764,48.3343095983432,1.91165270546436,902.394258838137,461.46,-254.56,461.44,-256.41
1,2121,2097,2126,2098,7,1.6,305.648134100809,306.251865899191,104.444725059745,-1.43311470798494,1150.74257685191,5,2.5,197.015317560658,199.184682439342,15.4591353766551,1.87520556199969,1066.51213025112,456.88,-284.45,458.95,-285.63
1,2109,1971,2106,1977,9,0.9,360.346517338746,361.753482661254,5.82254528122928,-1.45601634353654,1274.23739983104,4,2.6,166.679180329092,167.020819670908,45.087903797602,1.93297166331874,958.668852965046,455.27,-261.83,454.6,-262.63
1,2135,1961,2140,1961,9,1.3,355.004106924626,356.395893075374,11.7245857275347,-1.43684171230986,1287.38598815918,3,1.9,160.225946576144,162.674053423856,43.0663300009263,1.90493722926503,932.026514006079,460.38,-259.95,461.44,-261.38
1,2118,1738,2121,1737,4,1.1,317.058560514259,316.841439485741,83.4000063775383,-1.46779243686714,1506.8394947474,3,3.1,117.544784187406,120.855215812594,87.1200428374571,2.03007921331438,732.373807379039,456.79,-220.23,456.46,-219.72
1,2152,1429,2157,1433.5,4,1.1,378.727313195428,378.572686804572,32.6549220311169,-1.46666582382429,1817.69882552338,2,3.3,63.257045187707,60.642954812293,144.353511448733,2.25629634956647,455.983961470425,463.62,-165.77,463.92,-166.87
1,2129,1731.5,2123,1735,4,2.3,320.688801277524,319.211198722476,82.3262312078222,-1.46100892305111,1514.47092852009,3,3.1,117.533607786965,120.866392213035,87.597818943904,2.02883741965522,729.695017892978,458.88,-219.11,456.46,-219.72
1,2256.5,1535,2262,1531,4,1.1,362.101978746337,361.098021253663,38.5968465151096,-1.40005364102965,1726.96499022493,2,3.7,77.5734045274314,81.3265954725686,110.759459493976,1.9579329494491,486.480931346023,481.59,-184.43,483.2,-182.42
1,2137,2090,2129.5,2090,7,1.8,309.251955846805,309.248044153195,101.567558703282,-1.42027963735521,1159.96783217175,5,2.5,194.503694436149,196.696305563851,16.805026931381,1.87431577192251,1057.83130181485,459.85,-283.37,458.95,-283.14
1,2187.5,2065,2191,2061,7,1.4,319.162822028097,320.237177971903,90.8646339302602,-1.38156549139486,1193.1516272646,5,1.8,188.896679408997,190.603320591003,14.1859232047379,1.82491684652106,1013.01146996504,469.27,-278.53,470.76,-278.17
1,2156,1461,2150,1456,4,1.1,373.178289062509,373.721710937491,38.6877047559895,-1.46257664542012,1786.30286378853,2,2.6,66.7632068007366,65.4367931992634,139.427854699558,2.23782935824223,477.914180238722,464.18,-171.48,462.68,-171.22
1,2138,1502,2131,1501,4,0.7,363.752501881286,364.147498118715,46.9676238516941,-1.47029979944885,1743.65056265673,2,2.8,75.7317921596624,73.5682078403376,130.694352905999,2.21324104309722,525.182156567901,460,-178.16,458.95,-178.69
1,2148,1946,2143,1947,10,1.1,352.653839515154,355.146160484846,19.4774235672272,-1.42849809799809,1304.03320767468,3,3.1,159.073739359254,160.126260640746,46.6931793212201,1.90685191231102,917.818629565809,462.54,-256.72,461.44,-258.27
1,2229,2043,2225,2047,7,2.3,328.048706154283,327.551293845717,83.4396598355848,-1.35162028456669,1223.11355718152,3,3.6,182.18355696315,182.91644303685,21.5457718272673,1.79526749285799,991.349385900419,476,-275.3,475.74,-274.44
1,2304,1980,2308.5,1976,8,2.7,346.269376569977,345.130623430023,66.0436000564281,-1.30590892767254,1302.27364440717,3,2,164.044882973896,164.355117026105,22.5303597734949,1.72279036804967,905.922637284858,489.47,-264.26,491.28,-262.63
1,2199,2062,2196,2066,7,1.7,320.881366365137,321.618633634863,89.1559707252899,-1.37261075102229,1198.30930964455,5,1.4,190.083528215576,192.616471784424,12.2689953472349,1.81892003504138,1016.6122019655,470.62,-278.26,472.01,-279.41
1,2220,2050.5,2224,2046,7,1.5,325.790171597496,325.909828402504,84.7656433206805,-1.35751392898548,1213.85723278052,3,3.6,182.368368789167,182.731631210833,21.7962662282674,1.7964763619764,990.597788582356,474.93,-276.37,475.74,-274.44
1,2271,1494,2265,1488,4,1.1,369.935436439488,369.764563560513,30.5796583732382,-1.39591617284321,1769.84770866667,2,1.9,71.0185134214966,71.6814865785034,116.539679535639,1.9881263525734,445.733737874651,484.37,-177.47,483.2,-176.2
1,2285,1429,2275,1429,5,1.5,382.196334669065,382.903665330935,82.1922019292206,-1.39456720219139,1836.29382199936,1,2.6,59.0854765933971,58.4145234066029,128.793102948999,2.02620572932736,388.025529893576,487.3,-165.77,485.06,-165.01
1,2284,1456,2281,1461,4,2.6,378.821970738634,376.278029261366,24.7507428319436,-1.39249535776774,1809.54056895038,2,3.8,66.4202375046405,85.5797624953595,79.1447118094529,1.9792423021509,414.582252594962,486.74,-170.5,486.31,-169.98
1,2313,1965.5,2310,1964,8,2.1,348.079013926371,348.020986073629,62.3270723109037,-1.30220054198195,1318.6331855633,3,1.4,162.685714285714,162.314285714286,23.7193984800143,1.72316427098472,893.833932020102,491.35,-262.37,490.66,-261.38
1,2321,1949,2319,1954,8,2.7,351.959524421988,351.340475578012,59.6201201067875,-1.29970596344492,1336.6687513707,3,2.5,162.232623073751,161.467376926249,38.8499700123113,1.71480498805468,882.614613296288,492.7,-259.41,492.53,-258.89
1,2535,1932,2533,1924.5,8,2.7,390.314222080499,403.385777919501,25.7046639892178,-1.15770240605841,1424.693639159,4,3.7,173.23009139487,180.06990860513,0.249494386669449,1.46768351902241,848.485027679405,531.74,-255.1,531.08,-250.81
1,2676,1946,2679,1942.5,8,4.4,401.855124119963,415.144875880037,16.7505940805019,-1.06619021564351,1474.64539473111,5,5.3,194.867471825063,218.832528174937,29.011139607307,1.30643522265905,893.001568824735,556.25,-259.95,555.95,-255.16
1,2679,1935,2675,1939,8,3.2,406.282536458979,398.861077719444,13.4714894475606,-1.06800212026722,1485.72723629624,5,5.3,195.670943702677,218.029056297323,29.933608459189,1.30975119898011,888.582874902366,557.06,-255.64,555.95,-255.16
